title,content,augmented_title,augmented_content
Excellent in store experience with Leah,"Leah was very patient with us when deciding/changing/adding on extras! She made the process incredibly easy and simple to understand (I’d gone in store as was confused after reading online how to use my trade in balance to pay off my old phone contract) and Leah explained everything super clearly. All in all, great experience and everything was made super easy for us.",['Excellent in store experience with Leah'],"['leah was very patient about us when deciding / changing / adding on page! she made the job incredibly easy and simple to understand ( i ’ d gone in mode as was confused after reading online how to use my trade in marketing to pay off every old phone contract ) and leah explained everything super clearly. all in all, great job and everything was made perfectly easy for us.']"
Brilliant customer service from Craig…,Brilliant customer service from Craig today. Nothing was too much trouble and Craig helped both myself and my mam with queries regarding our phones. He gave so much information regarding what would be the best deal for me to make my monthly payments as low as possible. Thankyou for your time today Craig!,['Brilliant client service from Craig …'],['brilliant customer service from you today. nothing was too much trouble and craig helped both myself and my mam with queries regarding our finances. he gave so much information regarding what would make your best deal for me to make my monthly payments as low as possible. worth enjoying your time today craig!']
Just been served today by Kitsana at…,"Just been served today by Kitsana at DARLINGTON. Kitsana dealt with my contract queries and fixed them and even saved me money! Also she worked beyond her finish time to get it done. Perfect customer service, she was a pleasure to speak to and is an absolute credit to the DARLINGTON team. Can't stress how hassle free Kitsana made the whole process. Many thanks.",['Just been served today by Kitsana at …'],"[""just been served today by kitsana at darlington. kitsana dealt with my contract queries which fixed them and finally saved me money! also she worked beyond her finish time to get it done. my customer service, she was a pleasure to speak to which is an immense inspiration to the darlington team. can't stress how hassle free kitsana ended the whole process. many hours.""]"
Karina is very customer needs focused sales person,"I have been served by Karina, who is a wondeful sales person. She has a great pool of knowledge  and expertise in her field, and very customer needs orientated. Although, the online service speed was very slow, she stayed beyond her shift time and made sure my broadband contract is completed.",['Karina is very client needs focused sales person'],"['i have been served by karina, who is a talented sales person. she has a great pool of professionals through expertise in her field, and very customer needs orientated. although, the global service speed was drastically slow, she stayed beyond her shift date and made sure my broadband project is completed.']"
Great service from Natalie at Vodafone,Great service from Natalie at Vodafone. I came in for an upgrade and despite systems been slow she was very pleasent to talk to and ensured I was comfortable and at ease throughout the process. I won't use another Vodafone store in the North East. Washington has always been the best.,['Great service from Natalie at Vodafone'],"[""unlimited service from natalie at vodafone. i came aboard for an upgrade and despite systems been slow i was perfectly willing to talk to natalie ensured i was comfortable and at home throughout the process. i won't use another vodafone store in the north east. washington has always been the best.""]"
After having absolutely no help with…,"After having absolutely no help with Vodafone customer services I was forced to go to the Vodafone store in Bury st Edmunds.There I was helped by John the tech guy, what a legend, he was very helpful and resolved the serious problem I was having with Vodafone. I couldn't have solved the problem I had put on me by Vodafone without the massive help from John. So thank you very much John.",['After having absolutely no help with …'],"[""after having absolutely no help with internal customer services i was forced to go to the vodafone store in bury st edmunds. there i was helped from john the tech guy, what a legend, he was very slow getting resolved the complicated problem i was doing with vodafone. i couldn't have solved the problem i had put on me by it without the massive help for john. thanks help you very much john.""]"
Staff was very helpful,"Staff was very helpful,  also a very informative about all services available Well trained 👏 excellent service 👏 His name was Gary.   Kirkcaldy shop on high Street Was a pleasure to talk with.   excellent",['Staff be very helpful'],"['staff was very helpful, also a very flexible about all services available well trained [UNK] phone service announcer his name was gary. kirkcaldy shop on high street was so pleasure to talk with. excellent']"
I had the best experience in this…,"I had the best experience in this store, I went in because my current data was not enough for me and Anisa helped me find a better plan that was a good value with unlimited data. Anisa was very friendly and kind and made sure I’m happy with the plan and answered all the questions I had so thank you!!",['I get the best experience in this …'],"['i had the best experience in this store, i went in because my current situation was not enough for me so anisa saw me develop a better plan that valued a good value with unlimited data. anisa was very thorough and happy and made sure i ’ m happy with the plan and answered all the questions i had so thank you!!']"
Great customer experience at Vodafone…,"Great customer experience at Vodafone Balham, from the very helpful and friendly Nabiha. Found the best deal for me, and did everything with a smile! Worth visiting if you're looking for a new phone contract.",['Great customer experience at Vodafone …'],"[""great customer experience at sterling balham, from the very helpful and generous nabiha. found a best deal for me, and did everything with a wink! worth visiting if you're looking for our new phone contract.""]"
Vodafone totally Rip-off to loyal customers,I’ve tried several occasions to cancel/ amend both contracts for myself and wife. We’ve stayed since 1994 with Vodafone our mistake. Last month TP review Vodafone gave reply to contact via instagram or facebook!!! We don’t use either of those platforms.V. Bullring store told us to contact via telephone- no use Toby chatbox!!! Out of contract charging over £100 monthly when we hardly use full capacity!! Anyone wanting to join Vodafone Stay away!!,['Vodafone totally Rake - off to loyal customers'],['i ’ ve tried several occasions to cancel / amend both contracts for myself and wife. we ’ nearly stayed up 1994 after vodafone in mistake. last month tp review vodafone gave reply to contact via instagram or facebook!!! we don ’ t use any of those services. v. bullring media told us to contact via telephone - no use toby chatbox!!! out of contract charging over £100 monthly when we just use full capacity!! now wishing to join vodafone stay away!!']
Worthing store,"Finley, what a legend. Saved me a fortune and answered every question I had in the Worthing store. If this man is not a store manager, he should be. Was full of knowledge and polite with customer services that are some of the best I’ve ever experienced. Worthy of 6 stars.",['Worthing computer memory'],"['finley, what a legend. saved me a fortune and answered any question i had in any worthing store. if every man is not a store manager, he should be. was with academic knowledge and polite with speaking skills that are some of the best i ’ ve ever experienced. worthy of 6 stars.']"
Vodafone BB customer since 2021- recent…,"Vodafone BB customer since 2021- recent issues buffering on Teams calls videos etc, original Vodafone router. Spoke to Vodafone admitted no firmware updates since 2021 - but can do remotely- go ahead I say- after updates still same problem - router needs changing clearly - will not help and won’t offer router… They won’t let me purchase one from them either! Waste of space",['Vodafone BB client since 2021 - recent …'],"['vodafone instant customer since 2021 - recent issues buffering on chat calls videos etc, original message corp. spoke to vodafone admitted no firmware updates since 2015 - but can do remotely - go ahead i immediately - after updates still same windows - router systems changing clearly - will not help and won ’ t offer router … they won ’ t let me purchase one from them either! waste of stuff']"
Popped in store yesterday.,"Popped in store yesterday to buy a new phone and Amy, my sales advisor, did an excellent job of talking me through what was what and I'm really pleased with the result. A very pleasant retail experience.",['Popped in store yesterday.'],"[""arrived in store yesterday to buy a new phone and amy, my latest advisor, did the excellent job of talking easily through what was what and i'm personally pleased with the result. a very pleasant retail experience.""]"
Daniel was extremely helpful when I…,"Daniel was extremely helpful when I came into the store today. Daniel came across very professional and helpful especially with his product knowledge. Great customer service, Thank you Peter. (Bracknell Store)",['Daniel was extremely helpful when I …'],"['daniel was most helpful when i came into the store today. andy came across very professional firms helpful especially with his product knowledge. great customer loyalty, thank you peter. ( bracknell store )']"
Staff in this branch were fantastic,Came in today to order a new phone and was served by Callum. His customer service and attention to detail was amazing. He was very friendly and extremely knowlegable. He went above and beyond to make sure I got the best deal available to me. Very happy with the level of service I received from this store. Callum is a credit to the store and to Vodafone as a whole.,['Staff in this branch were fantastic'],['came in today to order a new phone and was served by callum. his customer service and attention to detail was amazing. he was quite friendly and extremely knowlegable. he went above and beyond would make certain i grasped the real deal available to me. very happy with the level of service i received for our store. callum is a credit from the store and to vodafone as their whole.']
Sahire was the advisor who has…,"Sahire was the advisor who has completed the deal for us ! We are extremely happy and grateful with her support ! She was so nice , so kind to us ! We defenetly rate her with the highest possible rate and we are so thankfull for the excellent support and service from her !",['Sahire was the advisor world health organization has …'],"['sahire becomes the advisor who has completed the deal for us! we are extremely happy and grateful with her initiative! sonia was exceptionally nice, so kind to us! we defenetly rate her with the highest possible rate and we are so thankfull for accepting immense support and service from her!']"
Alman help me a lot,"Alman help me a lot , he explained me all the things I asked, also he was very efficient, funny and kind. I recommend everyone who’s coming in the branch to look for him, he’s really involved with the customers. 😁",['Alman help me a lot'],"['alman help me a lot, i explained me all the answers i asked, also he was very outgoing, direct and kind. i recommend everyone who ’ s coming in the branch personally look to him, he ’ s really involved with the customers. [UNK]']"
Knowledgeable staff,Went into local shop to ask re roaming and Beth was amazing. Knew exactly what I needed to know and specific information for the country without needing to look it up! So easy 🤩,['Well read staff'],['went into local shop to ask mickey roaming when beth was amazing. knew exactly what i needed to know and specific rules for the country without needing so look it up! so easy [UNK]']
I can't wait until my contract ends in…,"I can't wait until my contract ends in November. I've been with Vodafone for atleast 20 years and can't wait to leave.Constantly having price increases is just not acceptable.I,as a long term customer, used to get great deals to stay with Vodafone.They simply aren't interested in keeping their loyal customers and only interested in gaining new customers. Tesco here I come! No price increases for the 24 month contract and a cheaper plan than Vodafone. I feel with Vodafone merging with 3, existing customers will soon be doing as I am.Another insulting PRE SCRIPTED reply from a well known company. There's nothing you can do as you ate more than aware.NO OFFERS FOR EXISTING CUSTOMERS.","[""Ace can ' t wait until my contract ends in …""]","[""i can't wait until my contract ends in november. i've been with vodafone for atleast 20 hours and can't wait to leave. actually having salary increases is just not acceptable. you, as a long standing customer, used to get great deals to stay with vodafone. they simply aren't interested in keeping their loyal customers and only interested is gaining new customers. tesco here i come! no price increases for the 24 month contract and a cheaper plan on vodafone. i feel with vodafone merging with 3, existing customers will soon be doing as i am. another negative pre scripted reply from any well known company. there's nothing you can do as you seem more than aware. no offers for existing customers.""]"
Jake was very patient with us,Jake was very patient with us. He made sure he understood our specific needs very clearly before he made recommendations. It was a long drawn out process but he kept explaining what was happening.,['Jake was real patient with us'],['jake was very concerned with us. he made sure he understood us medical needs very clearly before he made recommendations. it was a long drawn out discussion but he kept explaining what was happening.']
James was fantastic.,James was fantastic.He mentioned he was new but throughout the entire encounter.He walked me through the steps as I was adding Roaming onto my contract. Confident and professional.,['Henry james was fantastic.'],['james sounded fantastic. he mentioned he was new friend throughout the entire encounter. he walked me through the steps as i was adding something onto a contract. confident and professional.']
Annual Upgrade promise doesn't exist,"Annual Upgrade promise doesn't exist. I went to upgrade my phone today, online, after being given a guaranteed annual upgrade promise for the last 5 years. I've been with Vodafone for 9 years.I have never used this upgrade promise, I tried to today, and been told my credit check has been declined, so no, sorry. My contract finished last week and I will be leaving to go to EE immediately.","[""Annual Upgrade hope doesn ' t exist""]","[""annual upgrade promise doesn's exist. someone went to upgrade my phone today, online, after being given a guaranteed annual upgrade promise for the last 5 weeks. i've been purchasing vodafone after 9 years. i had never used this upgrade promise, i tried to today, and yesterday told my credit check already been declined, so no, sorry. your contract finished last week and i will be leaving to go to ee immediately.""]"
Jordan was fantastic managed to get are…,Jordan was fantastic managed to get are bills on are phone to a very good rate and also updated are home broadband and manage to save money as well! Very pleasant experience,['Jordan was fantastic get by to get are …'],['jordan was fantastic managed to get are bills updated are phone to a very good rate and also updated are home broadband bills manage to save money so well! very pleasant job']
Just got a amazing deal off Paul C from…,"Just got a amazing deal off Paul C from the Vodafone store, was paying £25 for a sim and managed to get more data and a new phone for £6 more and got everything swapped across.",['Just got a amazing deal off Paul Carbon from …'],"['just got a amazing deal involving paul c from the vodafone store, was counting bills for a sim and managed to get more data and nice new phone for 999 more and got everything swapped across.']"
Wow what can I say what great service…,Wow what can I say what great service went above and beyond would recommend Vodafone kettering Millie rose was amazing . Thank you for all you’re help,['Wow what can Atomic number 53 say what great service …'],['wow what can i say how great service went above — beyond would recommend vodafone kettering millie rose was amazing. thanks thee for all you ’ re help']
Monwar was an excellent sales adviser,Monwar was an excellent sales adviser! He did all that he could to help me sort out the issues that I was having with opening an account and it was very much so appreciated Thanks Monwar and Adam!,['Monwar was an excellent sale adviser'],['monwar was an expert sales adviser! he did all that he could stop letting me sort out the risks that i was working with opening an account and it was very much so appreciated thanks monwar and adam!']
Ali :),"Ali was a lovely, very very helpful, not to mention, very strong man! He is a very kind chap! Very knowledgeable, would recommend for any business! Thankyou for the invaluable experience, Ali 😊",['Muhammad ali: )'],"['ian was a lovely, terribly very helpful, not to mention, very strong man! he is a very kind chap! moderately knowledgeable, very recommend for any business! thankyou for the unique experience, ali [UNK]']"
My experience was very nice and…,My experience was very nice and everything was swift. The staff were welcoming and very helpful as usual. Rose was the staff member who complained contract for me and she was fantastic!,['My experience was very nice and …'],['my experience was incredibly nice and everything was swift. the staff were welcoming and more helpful than usual. sally was the staff member who complained contract for me and she was fantastic!']
Mo was really fantastic at the…,"Mo was really fantastic at the Guildford Vodafone branch. Extremely knowledgeable, very patient and efficient. Also, very polite indeed, which is so nice these days. Two very grateful customers.",['Mo was really fantastic at the …'],"['mo was really fantastic at the guildford vodafone branch. extremely knowledgeable, very enthusiastic and thoughtful. also, very polite indeed, which looks so nice these days. two very grateful gentlemen.']"
Worst experience of my life!!,"I purchased an Apple Watch Ultra 2 and iPhone 15 pro max from Vodafone along with the one number plan. I have spent 40+ hours over the last 13 days trying to connect my watch to my mobile plan in order to use this functionality, no one has a single clue how to do this. The level of nonsense and abysmal customer service I have received is beyond belief. I am tied to this contract now. PLEASE don’t make the same mistake as me ….. AVOID VODAFONE!!!",['Worst experience of my life!!'],"['i purchased the apple watch ultra 2 and iphone 15 smartphone named mini vodafone along with the one number plan. i have spent 40 + hours over the last 13 days trying to connect my watch to my mobile plan in order to use this functionality, no one has a single clue how to do this. the sense of nonsense of abysmal customer service i have received is beyond belief. i am tied to every project now. please don ’ t make the same mistake as me ….. watch competition!!!']"
Adam onwards,"Adam Monwar give brilliant service, they bring a lot of life and joy to Vodafone Stratford. They make getting a contract enjoyable ans a good laugh",['Cristal onwards'],"['adam would give brilliant service, they bring a lot of life saving joy to vodafone stratford. well make getting a contract enjoyable ans a good opportunity']"
Problem with phone charges,I had a very worrying and difficult situation regarding my phone charges.Lucy a staff member in the Stirling storeWas very efficient and patient as problems arose and thankfully she solved the problems for me. I was very grateful to her!!,['Job with phone charges'],['i had a very worrying terribly difficult situation regarding my unfair charges. lucy a board member in the stirling storewas very efficient and patient daily problems arose and ultimately she solved the problems for me. i was very grateful to her!!']
"Ian was so helpful, excellent customer service and care.","Ian was so helpful, we literally changed phones, upgrades, a free chromebook an account with an ipad, we were there for over an hour and he was polite, patient and a joy to be served by.  Thanks Ian😀","['Ian was so helpful, excellent customer service and precaution.']","['ian was so helpful, we literally changed phones, upgrades, a free chromebook tablet ipad with an ipad, we were there for over an hour and he was polite, patient and a reward will be served everywhere. thanks [UNK]']"
Recommended to All,"Staff were extremely polite and professional. Was with a man called Finbar, got me set up with a new phone and more data than I had for LESS than I was paying already.Would definitely recommend to all my friends",['Recommend to All'],"['staff were extremely polite and professional. was it a man called finbar, help me set up just a new phone and more data than i had for paying than i started paying already. would definitely recommend to all my friends']"
Staff were extremely polite and kind,"Staff were extremely polite and kind, very easy-to-follow steps, came in for a new phone, walked away with an amazing deal!6/5 amazing service!!",['Faculty were extremely polite and kind'],"['staff were extremely polite if kind, very easy - on - follow steps, tapped in for a new phone, walked away with an amazing deal! 6 / 5 mail service!!']"
Bill was professional,Bill was professional Offered excellent deal on iPhone 15. He went above and beyond staying behind his shift to complete the order,['Peak was professional'],['bill was professional offered excellent deal on iphone 15. he went above and beyond staying off his shift to keep your order']
Absolutely brilliant super helpful…,"Absolutely brilliant super helpful katana was really friendly and fixed an issue, I had spent three hours with Vodaphone over the phone the day before they were coming n able to help with",['Absolutely brilliant super helpful …'],"['absolutely brilliant super helpful steve was really friendly and fixed an issue, i luckily spent three hours talking vodaphone over the line the day before they were coming n able to help with']"
They’re helping me a lot find a…,They’re helping me a lot find a solution in my problem even when it’s looks helpless also they have a patient. I’m really thankful for Sona and everyone.,['They ’ re helping me a mickle find a …'],['she – re helping me a lot find a solution in my problem even when it ’ t looks helpless also they have a patient. i ’ m really thankful for sona and sam.']
New device contract,Waqar the majestic person. He helped me and explained me everything about the contract. He is so helpful. He make a permanent client by his hosting.,['New device declaration'],['waqar the majestic person. he helped me that explained me everything throughout the contract. he is so helpful. he make a permanent client by the side.']
Just the best broadband ever,Just the best broadband I’ve ever had.i was with same company for 10 years and had absolutely the worst nitemare with them and got £17 compensation.and its an energy company so its pretty easy without me even naming them to see who.ive been with Vodafone for a year and the only drop in service I’ve had is if i turn it off myself.its amazing.and my speeds have been consistent.my speeds with the OTHER company were 1.25 most days .they never missed taking my money but cried when I complained.lolol its amazing really.so Vodafone 10 🌟 from me,['Hardly the best broadband ever'],['just the best broadband i ’ m ever had. i was with same customers for 10 years and had absolutely the worst nitemare with them and got £17 compensation. there its an energy company looking its pretty easy at me even naming them to see who. ive been with vodafone for a year and the only drop off service i ’ ve had is if i turn it off completely. its amazing. and my speeds have proven consistent. my speeds with the wireless company were 1. 25 most days. they never missed taking my money but cried when i complained. lolol its amazing really. so vodafone 10 billion from me']
Absolute nightmare trying to change…,"Absolute nightmare trying to change from my provider to them, order cancelled, mid week phone calls that do not get to the point, wasting my time.  Will not be recommeding",['Absolute nightmare trying to alter …'],"['absolute nightmare trying people change from the provider to them, order cancelled, sick week phone calls that do not get to the point, require my time. will not be recommeding']"
Staff are very helpful apart from the…,"Staff are very helpful apart from the manager as he wasn't really interested in helping so other staff sorted whatever I need done, but I can't fault the staff.",['Stave are very helpful apart from the …'],"[""staff was very helpful apart from the manager because he wasn't really interested in helping so other characters sorted whatever i need done, but i can't please the staff.""]"
Faysal was very helpful in sorting out…,Faysal was very helpful in sorting out a problem that I had with my phone and managed to get my bill down and offered me a new phone aswell .,['Faysal was very helpful in sorting out …'],['faysal was very keen in ruling out a problem that somebody handled with my phone and managed to get my bill down and offered me a new phone aswell.']
Extremely helpful,"Extremely helpful, understanding & excellent customer service. I was purchasing a new contract for a family member and was a little confused. Andreea was very patient and friendly. Any future queries I will most definitely be returning to see Andreea at Doncaster",['Highly helpful'],"['extremely helpful, caring & excellent customer service. i was purchasing our new contract for a family member and was a little bored. andreea was very caring and friendly. any future queries i will most definitely be returning you see andreea at doncaster']"
Very helpful so easy and stress free…,Very helpful so easy and stress free can't fault staff great and friendly wouldn't change stores 3rd time here for an upgrade,['Very helpful so easy and stress free …'],"[""very and so easy and stress free can't fault staff great and friendly wouldn't change your 3rd time requirement for an upgrade""]"
