title,content
Worthing store,"Finley, what a legend. Saved me a fortune and answered every question I had in the Worthing store. If this man is not a store manager, he should be. Was full of knowledge and polite with customer services that are some of the best I’ve ever experienced. Worthy of 6 stars."
Vodafone BB customer since 2021- recent…,"Vodafone BB customer since 2021- recent issues buffering on Teams calls videos etc, original Vodafone router. Spoke to Vodafone admitted no firmware updates since 2021 - but can do remotely- go ahead I say- after updates still same problem - router needs changing clearly - will not help and won’t offer router… They won’t let me purchase one from them either! Waste of space"
Popped in store yesterday.,"Popped in store yesterday to buy a new phone and Amy, my sales advisor, did an excellent job of talking me through what was what and I'm really pleased with the result. A very pleasant retail experience."
Daniel was extremely helpful when I…,"Daniel was extremely helpful when I came into the store today. Daniel came across very professional and helpful especially with his product knowledge. Great customer service, Thank you Peter. (Bracknell Store)"
Staff in this branch were fantastic,Came in today to order a new phone and was served by Callum. His customer service and attention to detail was amazing. He was very friendly and extremely knowlegable. He went above and beyond to make sure I got the best deal available to me. Very happy with the level of service I received from this store. Callum is a credit to the store and to Vodafone as a whole.
Sahire was the advisor who has…,"Sahire was the advisor who has completed the deal for us ! We are extremely happy and grateful with her support ! She was so nice , so kind to us ! We defenetly rate her with the highest possible rate and we are so thankfull for the excellent support and service from her !"
Alman help me a lot,"Alman help me a lot , he explained me all the things I asked, also he was very efficient, funny and kind. I recommend everyone who’s coming in the branch to look for him, he’s really involved with the customers. 😁"
Knowledgeable staff,Went into local shop to ask re roaming and Beth was amazing. Knew exactly what I needed to know and specific information for the country without needing to look it up! So easy 🤩
I can't wait until my contract ends in…,"I can't wait until my contract ends in November. I've been with Vodafone for atleast 20 years and can't wait to leave.Constantly having price increases is just not acceptable.I,as a long term customer, used to get great deals to stay with Vodafone.They simply aren't interested in keeping their loyal customers and only interested in gaining new customers. Tesco here I come! No price increases for the 24 month contract and a cheaper plan than Vodafone. I feel with Vodafone merging with 3, existing customers will soon be doing as I am.Another insulting PRE SCRIPTED reply from a well known company. There's nothing you can do as you ate more than aware.NO OFFERS FOR EXISTING CUSTOMERS."
I upgraded my phone today in Vodafone Poole store,"I upgraded my phone today in Vodafone Poole,Dorset ..l was helped by Dan B who was extremely  helpful & knowledgeable guiding me through the purchase covering everything, advising  on best deals,promotions,offers to suit my needs , & even got me excellent  deal on trading in my old phone ! I can reccomend  him very highly  & will definitely  visit him & store again , if l could give him more stars l would !"
Excellent in store experience with Leah,"Leah was very patient with us when deciding/changing/adding on extras! She made the process incredibly easy and simple to understand (I’d gone in store as was confused after reading online how to use my trade in balance to pay off my old phone contract) and Leah explained everything super clearly. All in all, great experience and everything was made super easy for us."
Brilliant customer service from Craig…,Brilliant customer service from Craig today. Nothing was too much trouble and Craig helped both myself and my mam with queries regarding our phones. He gave so much information regarding what would be the best deal for me to make my monthly payments as low as possible. Thankyou for your time today Craig!
Just been served today by Kitsana at…,"Just been served today by Kitsana at DARLINGTON. Kitsana dealt with my contract queries and fixed them and even saved me money! Also she worked beyond her finish time to get it done. Perfect customer service, she was a pleasure to speak to and is an absolute credit to the DARLINGTON team. Can't stress how hassle free Kitsana made the whole process. Many thanks."
Karina is very customer needs focused sales person,"I have been served by Karina, who is a wondeful sales person. She has a great pool of knowledge  and expertise in her field, and very customer needs orientated. Although, the online service speed was very slow, she stayed beyond her shift time and made sure my broadband contract is completed."
Great service from Natalie at Vodafone,Great service from Natalie at Vodafone. I came in for an upgrade and despite systems been slow she was very pleasent to talk to and ensured I was comfortable and at ease throughout the process. I won't use another Vodafone store in the North East. Washington has always been the best.
After having absolutely no help with…,"After having absolutely no help with Vodafone customer services I was forced to go to the Vodafone store in Bury st Edmunds.There I was helped by John the tech guy, what a legend, he was very helpful and resolved the serious problem I was having with Vodafone. I couldn't have solved the problem I had put on me by Vodafone without the massive help from John. So thank you very much John."
Staff was very helpful,"Staff was very helpful,  also a very informative about all services available Well trained 👏 excellent service 👏 His name was Gary.   Kirkcaldy shop on high Street Was a pleasure to talk with.   excellent"
I had the best experience in this…,"I had the best experience in this store, I went in because my current data was not enough for me and Anisa helped me find a better plan that was a good value with unlimited data. Anisa was very friendly and kind and made sure I’m happy with the plan and answered all the questions I had so thank you!!"
Great customer experience at Vodafone…,"Great customer experience at Vodafone Balham, from the very helpful and friendly Nabiha. Found the best deal for me, and did everything with a smile! Worth visiting if you're looking for a new phone contract."
Vodafone totally Rip-off to loyal customers,I’ve tried several occasions to cancel/ amend both contracts for myself and wife. We’ve stayed since 1994 with Vodafone our mistake. Last month TP review Vodafone gave reply to contact via instagram or facebook!!! We don’t use either of those platforms.V. Bullring store told us to contact via telephone- no use Toby chatbox!!! Out of contract charging over £100 monthly when we hardly use full capacity!! Anyone wanting to join Vodafone Stay away!!
Worthing store,"Finley, what a legend. Saved me a fortune and answered every question I had in the Worthing store. If this man is not a store manager, he should be. Was full of knowledge and polite with customer services that are some of the best I’ve ever experienced. Worthy of 6 stars."
Vodafone BB customer since 2021- recent…,"Vodafone BB customer since 2021- recent issues buffering on Teams calls videos etc, original Vodafone router. Spoke to Vodafone admitted no firmware updates since 2021 - but can do remotely- go ahead I say- after updates still same problem - router needs changing clearly - will not help and won’t offer router… They won’t let me purchase one from them either! Waste of space"
Popped in store yesterday.,"Popped in store yesterday to buy a new phone and Amy, my sales advisor, did an excellent job of talking me through what was what and I'm really pleased with the result. A very pleasant retail experience."
Daniel was extremely helpful when I…,"Daniel was extremely helpful when I came into the store today. Daniel came across very professional and helpful especially with his product knowledge. Great customer service, Thank you Peter. (Bracknell Store)"
Staff in this branch were fantastic,Came in today to order a new phone and was served by Callum. His customer service and attention to detail was amazing. He was very friendly and extremely knowlegable. He went above and beyond to make sure I got the best deal available to me. Very happy with the level of service I received from this store. Callum is a credit to the store and to Vodafone as a whole.
Sahire was the advisor who has…,"Sahire was the advisor who has completed the deal for us ! We are extremely happy and grateful with her support ! She was so nice , so kind to us ! We defenetly rate her with the highest possible rate and we are so thankfull for the excellent support and service from her !"
Alman help me a lot,"Alman help me a lot , he explained me all the things I asked, also he was very efficient, funny and kind. I recommend everyone who’s coming in the branch to look for him, he’s really involved with the customers. 😁"
Knowledgeable staff,Went into local shop to ask re roaming and Beth was amazing. Knew exactly what I needed to know and specific information for the country without needing to look it up! So easy 🤩
I can't wait until my contract ends in…,"I can't wait until my contract ends in November. I've been with Vodafone for atleast 20 years and can't wait to leave.Constantly having price increases is just not acceptable.I,as a long term customer, used to get great deals to stay with Vodafone.They simply aren't interested in keeping their loyal customers and only interested in gaining new customers. Tesco here I come! No price increases for the 24 month contract and a cheaper plan than Vodafone. I feel with Vodafone merging with 3, existing customers will soon be doing as I am.Another insulting PRE SCRIPTED reply from a well known company. There's nothing you can do as you ate more than aware.NO OFFERS FOR EXISTING CUSTOMERS."
Jake was very patient with us,Jake was very patient with us. He made sure he understood our specific needs very clearly before he made recommendations. It was a long drawn out process but he kept explaining what was happening.
James was fantastic.,James was fantastic.He mentioned he was new but throughout the entire encounter.He walked me through the steps as I was adding Roaming onto my contract. Confident and professional.
Annual Upgrade promise doesn't exist,"Annual Upgrade promise doesn't exist. I went to upgrade my phone today, online, after being given a guaranteed annual upgrade promise for the last 5 years. I've been with Vodafone for 9 years.I have never used this upgrade promise, I tried to today, and been told my credit check has been declined, so no, sorry. My contract finished last week and I will be leaving to go to EE immediately."
Jordan was fantastic managed to get are…,Jordan was fantastic managed to get are bills on are phone to a very good rate and also updated are home broadband and manage to save money as well! Very pleasant experience
Just got a amazing deal off Paul C from…,"Just got a amazing deal off Paul C from the Vodafone store, was paying £25 for a sim and managed to get more data and a new phone for £6 more and got everything swapped across."
Wow what can I say what great service…,Wow what can I say what great service went above and beyond would recommend Vodafone kettering Millie rose was amazing . Thank you for all you’re help
Monwar was an excellent sales adviser,Monwar was an excellent sales adviser! He did all that he could to help me sort out the issues that I was having with opening an account and it was very much so appreciated Thanks Monwar and Adam!
Ali :),"Ali was a lovely, very very helpful, not to mention, very strong man! He is a very kind chap! Very knowledgeable, would recommend for any business! Thankyou for the invaluable experience, Ali 😊"
My experience was very nice and…,My experience was very nice and everything was swift. The staff were welcoming and very helpful as usual. Rose was the staff member who complained contract for me and she was fantastic!
Mo was really fantastic at the…,"Mo was really fantastic at the Guildford Vodafone branch. Extremely knowledgeable, very patient and efficient. Also, very polite indeed, which is so nice these days. Two very grateful customers."
Worst experience of my life!!,"I purchased an Apple Watch Ultra 2 and iPhone 15 pro max from Vodafone along with the one number plan. I have spent 40+ hours over the last 13 days trying to connect my watch to my mobile plan in order to use this functionality, no one has a single clue how to do this. The level of nonsense and abysmal customer service I have received is beyond belief. I am tied to this contract now. PLEASE don’t make the same mistake as me ….. AVOID VODAFONE!!!"
Adam onwards,"Adam Monwar give brilliant service, they bring a lot of life and joy to Vodafone Stratford. They make getting a contract enjoyable ans a good laugh"
Problem with phone charges,I had a very worrying and difficult situation regarding my phone charges.Lucy a staff member in the Stirling storeWas very efficient and patient as problems arose and thankfully she solved the problems for me. I was very grateful to her!!
"Ian was so helpful, excellent customer service and care.","Ian was so helpful, we literally changed phones, upgrades, a free chromebook an account with an ipad, we were there for over an hour and he was polite, patient and a joy to be served by.  Thanks Ian😀"
Recommended to All,"Staff were extremely polite and professional. Was with a man called Finbar, got me set up with a new phone and more data than I had for LESS than I was paying already.Would definitely recommend to all my friends"
Staff were extremely polite and kind,"Staff were extremely polite and kind, very easy-to-follow steps, came in for a new phone, walked away with an amazing deal!6/5 amazing service!!"
Bill was professional,Bill was professional Offered excellent deal on iPhone 15. He went above and beyond staying behind his shift to complete the order
Absolutely brilliant super helpful…,"Absolutely brilliant super helpful katana was really friendly and fixed an issue, I had spent three hours with Vodaphone over the phone the day before they were coming n able to help with"
They’re helping me a lot find a…,They’re helping me a lot find a solution in my problem even when it’s looks helpless also they have a patient. I’m really thankful for Sona and everyone.
New device contract,Waqar the majestic person. He helped me and explained me everything about the contract. He is so helpful. He make a permanent client by his hosting.
Just the best broadband ever,Just the best broadband I’ve ever had.i was with same company for 10 years and had absolutely the worst nitemare with them and got £17 compensation.and its an energy company so its pretty easy without me even naming them to see who.ive been with Vodafone for a year and the only drop in service I’ve had is if i turn it off myself.its amazing.and my speeds have been consistent.my speeds with the OTHER company were 1.25 most days .they never missed taking my money but cried when I complained.lolol its amazing really.so Vodafone 10 🌟 from me
Absolute nightmare trying to change…,"Absolute nightmare trying to change from my provider to them, order cancelled, mid week phone calls that do not get to the point, wasting my time.  Will not be recommeding"
Staff are very helpful apart from the…,"Staff are very helpful apart from the manager as he wasn't really interested in helping so other staff sorted whatever I need done, but I can't fault the staff."
Faysal was very helpful in sorting out…,Faysal was very helpful in sorting out a problem that I had with my phone and managed to get my bill down and offered me a new phone aswell .
Extremely helpful,"Extremely helpful, understanding & excellent customer service. I was purchasing a new contract for a family member and was a little confused. Andreea was very patient and friendly. Any future queries I will most definitely be returning to see Andreea at Doncaster"
Very helpful so easy and stress free…,Very helpful so easy and stress free can't fault staff great and friendly wouldn't change stores 3rd time here for an upgrade
What a duo,What a duo - I was really struggling with my and have many difficulties. Their Tech Tram service was amazing. Thank you for trying so hard and fixing my new phone so it now fully functional!! 😇
Sergui was so helpful and kind,Sergui was so helpful and kindHe helped resolve my issues with every solution and successfully solved it! I’m so grateful!
Absolutely firs class service from…,"Absolutely firs class service from sikkander, couldn’t do enough to help, would definitely recommend asking to speak to him"
Very good experience I have with sales…,Very good experience I have with sales advisors Halimah she made me feel welcome and give me the best service I’m looking for.
James the customer rep was very…,"James the customer rep was very helpful, cheerful and friendly. He gave us a very good deal and we are very satisfied with our experience in the store today. Well done to you James. Keep up the Good work"
Syed was extremely polite and…,Syed was extremely polite and professional. He spent alot of time talking to us both. No question asked was too too much trouble.
Great experience today,"Great experience today, with Matthew in the Vodafone shop. He helped me with an iPhone issue, which he resolved. Thanks."
Very good experience,Very good experience. The guy name syed is really very generous and helpful gave my all ans to my queries. Overall good experience😊
Great customer service from Jess in the…,Great customer service from Jess in the Tonbridge store. Sorted me a great upgrade and transferred all my data seamlessly.
richa was very helpful and friendly and…,"richa was very helpful and friendly and she helps me a lot to buy my new phone, i recommend to come here and speak to her for help!!"
I bought a New phone for my Partner,I bought a New phone for my Partner - a S24 Samsung. I received excellent Service from Amz and Farhan - Highly recommend this store and staff. They are a happy chirpy bunch. Thanks
Very  helpful in store,I came into the store today with an issue which Ryan successfully cleared up for me and updated my sim only plan. Very pleased with the service
Dan from Bracknell was absolutely…,Dan from Bracknell was absolutely brilliant x Good sense of humour and so good an quick with all he did x Amazing x
Narinder was really helpful with…,Narinder was really helpful with explaining products offered and made me understand to my best of my knowledge Thank you so much
Michal I was excellent at his job was…,Michal I was excellent at his job was nice to do business with a nice person who understood what I required
Appalling customer service,"I switched to Vodafone broadband/home phone in March 2024. The switch went smoothly, speeds were as expected, and the connection has been stable. Digital voice has also worked OK apart from once where the phone stopped ringing. A router reset fixed the problem. So why the low rating? Vodafone customer service is absolutely appalling. If you try the online chat route you first have to deal with AI TOBi. It's utterly useless. Typing ""I want to speak with a human"" does get the result you want although, frankly, you may be forgiven for thinking that some of the humans are actually AI. Every issue I've raised has taken at least 3/4 hour of a painfully slow exchange where you are left waiting with the instruction to type a full stop every few minutes so that the chat doesn't disconnect. And just because the customer service representative says the problem is sorted it doesn't mean it is. This time I tried the telephone option. I'm 27 minutes into the call and not convinced the person I'm holding for has a clue. All Vodafone customer service is based abroad and the strong accents make it difficult to understand at times. I've ended the call after 38 minutes as, despite me having it in black and white that a refund would be given for the add-on that I cancelled, the agent is unable to do it. I've been offered a gesture of goodwill that doesn't cover the money I am owed. I will now resort to a physical letter."
Emily was extremely helpful,Emily was extremely helpful in getting me a new phone and gave me an excellent deal to add an iPad to my contract too
"Services not delivered, cancellation not confirmed","It worked well until I moved houses and wanted to bring my broadband connection at the new place. After 2 months of waiting and speaking to 4 different people, I was still on the waiting list for getting the broadband installed at the new place. I found myself under a new order/contract still under the previous address details and with no idea when the new order would be executed. Today I have asked for a cancellation of the contract, on the basis that services were not delivered for months and probably not going to be delivered in the foreseeable future. I have been told that they cancelled the service, but that they cannot confirm in writing that the contract has been cancelled. Very poor customer experience in my case."
Great service from Lisa at Vodafone…,"Great service from Lisa at Vodafone Hamilton, explained everything clearly. Would highly recommend."
Ritaj was excellent,Ritaj was excellent. She very carefully explained my options and the costs of each plan. She was very patient and I came away very pleased with my new contract.
It was a pleasure to speak with Vinnie…,"It was a pleasure to speak with Vinnie and get a great deal, the customer service and the feel of the store were amazing."
Ease of the deal and walking away with…,Ease of the deal and walking away with an amazing deal and a credit. Trade in option worked in my favour aswell. Nazim was superb and explained everything. Thank you.
James has been very helpful and…,"James has been very helpful and friendly, he was understanding and went out of his way to help. Very professional."
Excellent advice from Gemma which…,Excellent advice from Gemma which passed the time while Vodafone's antique computers did their thing
Priscillia is a Star!,Priscillia made my entire shopping experience amazing. I felt a strong sense of care and help with priscilia. 100% would recommend the entire experience!
Compnay is doing great specially miss…,"Compnay is doing great specially miss Nesha is so corporative, and hi full fill all my requirements and give good suggestions."
Awful thieves steer clear,"My phone bill is £8 monthly. For the last three months I've been having to buy additional data which has taken my bill up significantly. For example this month my bill will be circa £100 according to the app. I couldn't work out how every time I bought extra data it ran down as if I didn't so having been buying more. Today I watched the before and after on the app. Each time I bought more data they wiped the remaining data off. So today I had 1.1gb I had paid circa £8 for bought 2bg more and they removed my 1.1gb!!!! I was told it's not transferable so you lose it. Fair enough but my next bill is not for weeks so they've been removing my data before they add the new one. Meaning I haven't been using what I've paid for. Submitted a formal complaint and requested a response in writing and of course they called instead so not to leave a paper trail. Just ridiculous. Then had to accept a lesser amount than I'd lost (even by their calculations) because they don't want to return the full amount so rounded down! Ridiculous, how about I round down before paying the next bill? Bet that wouldn't be acceptable. My contract is up in a few months & I will be taking my custom elsewhere."
John,JohnWas kind friendly and informative.  His knowledge is excellent. All options and contracts explained fully.Very professional
10/10,Simon was professional and helped me to find the plan that was best suited to my needs. 10/10 would recommend him.
Really friendly and approachable sales…,"Really friendly and approachable sales assistants Lucas and Abdul were fantastic, would visit the store again 😄"
Amazing experience,Aaron was amazing! Thank you very much for your help today. Amazing experience and really helpful.
Manoj was extremely helpful and his…,Manoj was extremely helpful and his advice has helped me make my decision on the replacement of my contract
Good experience Vodafone Fulham,Been to the Vodafone store in Fulham Broadway and the adviser Edwin was great at helping me with my problems and is very helpful
Very helpful and courteous asst store…,Very helpful and courteous asst store manager Finbar. Made the process if getting a new phone simple.
Vodafone and three merger could mean…,Vodafone and three merger could mean price increases for millions of customers..Time to move to giffgaff folks..cheaper and just as good if not better ...I did and don't regret it.
Needed help with one number,Needed help with one number. Turned out to be complex and Shaney was patient and helpful in getting it sorted
Service Quality,She was very friendly and made us understand everything properly. Very Polite and understanding
I was served by Jigisha,"I was served by Jigisha, she was very kind and helpful, it was a nice and pleasant experience."
I was served by Jigisha,"I was served by Jigisha, she was very kind and helpful, it was a nice and pleasant experience."
Everything was perfect,"Everything was perfect, my problem had been resolved in a fastest way!Thank you so much to Nesha!"
I was served by brijand,I was served by brijand. He was very helpful and answered all my questions that i needed help with. He understood my issue and resolved it.
Visited the shop and was amazed by the…,"Visited the shop and was amazed by the professionalism and help, Thank you to Brigand, such an added value to the company"
Update on my experience on 11th…,"Update on my experience on 11th September.  I was so disappointed in the lack of interest in my not receiving calls/no network inside my house, I called again to make a complaint.  I was put through to a gentleman called Abdul.  He listened, spoke with a manager and asked that I hold on while tests were being run.  He said if the call was terminated, he would call back.  It was, and he did.  He asked me to turn off my internet and try to make calls from different areas in my house and he would call back in 1 hour to see how I got on.  I cannot believe it worked.  Every room I made a call to my landline and I had no problems.  I started again, this time with my internet on, and after a little blip in one area of the house, the rest worked.  Abdul called back and advised he would call again on the 12th to check everything was still ok.  Really pleased it worked, so if anyone has a problem, maybe just go straight to complaints.  Everything is still ok, but he never called back on 12th.  If he had it would have been a 5 star review."
Larisa was a lovely and kind persons…,Larisa was a lovely and kind persons she explained to me everything. She takes care of her customers.
Ethan was amazing,"Ethan was amazing! Reduced my bill and was friendly. Very knowledgeable, great job Ethan!"
Will was a pleasure and very helpful,"Will was a pleasure and very helpful, great asset to the company. Extremely polite and friendly"
Akash was so helpful and informative.,Akash was so helpful and informative.I would highly recommend the MH shop.Thank you
Came in for upgrade enquiry,"Came in for upgrade enquiry, Val was great and very patient. Gave great service and advice. Sorted new phone."
The best sales man ever,"The best sales man ever, very friendly and brilliant made me make the perfect decision on my purchase . Bless him"
The sales advisor of Arndale branch,"The sales advisor of Arndale branch, Joe is very helpful and patient.   He has given me the products I need.  Brilliant !"
pay online and you…dont get anything,"There stay you can pay online and you will Gets a code exactly.I pay for a friend.He dont get the code and anything in the email, but the money is reservations onMy account.Why its not function???I pay from Denmark to Romania."
Brilliant service,"She was polite, understanding and patient while assisting. Great person to have on your team."
Don't get Vodafone 4G mobilewifi,I got the Vodafone 4G mobilewifi and its speed/range aren't suitable. I have to sit in the same room as the hub at the hub end of the sofa. My partner and I have to swap seats if one of us wants to use the internet. Would not recommend.
The employer who helpt me was super…,The employer who helpt me was super helpful and explained everything good. Was a great experience!
Victor was super friendly and helpful…,Victor was super friendly and helpful with the process. He is also extremely patient.
He was really helpful and explained…,He was really helpful and explained everything for me. I’d really appreciate him.
excellent customer service,Every colleague was extremely welcoming and helpful. Process was simple and every question.
He was really good,He was really good. Very polite and provide all the information as required. Cleared all my doubts.
Nazim was excellent with us very…,Nazim was excellent with us very informative and patient 10out of 10 from me
Really nice experience with…,"Really nice experience with musthafa,explained the plan very clearly"
Thanks Tausifur!,Tausifur was really patient with helping sort out an e-SIM.
Great upgrade experience with Zach in…,Great upgrade experience with Zach in Falkirk store. Got me the best deal on new iphone 16 pro! Thank you Zach.
I'm Confused,"This is a note to my fellow customers in the hope that you do not have to experience what I have.  Please let me explain.I bought an internet broadband package from Vodafone on the 20th of March 2024.  What tempted me to this package was that I would get a £75.00 Amazon gift voucher after 3 months. Each month I get an email from Vodafone saying that £26.00 per month has been taken out of my bank account to pay for my internet connection.For the last 3 months, I have been trying to claim my gift voucher to no avail.  9, yes 9 people from the Vodafone customer service line have told me that I bought the package from a third party and Vodafone does not have access to the third-party account. I was also given a bogus email address that no one responded to.This is a note to the Managing director of Vodafone. Would you be kind enough to honour your contract and deliver what is expected? It’s such a shame that Vodafone is very happy to take my money every month, but when it’s time to stand and deliver, I am referred to a third party that in my opinion does not exist.With all the above in mind, I will wait until the end of the month and if I have not received my £75.00 Amazon gift voucher as promised, I will close my account and go to another provider.   It's all been very disappointing."
Very helpful,"Very helpful staff member, helping us get the best plan for our usage"
Matthew was very helpful in store,"Matthew was very helpful in store, and he gave me a great deal. Highly recommended"
Kurt,"Kurt, the assistant, helped me throughout and was 100% knowledgeable. Great service as always."
Ashleigh was a fantastic help,Ashleigh was a fantastic help. She helped me to choose a phone and tariff that more than suits my needs. Thanks again!
Friendly and helpful service from Vicky…,Friendly and helpful service from Vicky and the Newton team as always
Had a great experience with Gui,"Had a great experience, Gui was really helpful and good chat."
Ethan was brilliant,Ethan was brilliant. Really helpful and efficient with no pressure to purchase.
Excellent services providing by miss…,Excellent services providing by miss nesha. She doing amazing job here.
Nishant,"Nishant,  great service, polite, friendly, straight forward advice."
Julie was very helpful and…,Julie was very helpful and knowledgeable. She is a credit to your company
A lady called Mel helped me today was…,A lady called Mel helped me today was very kind and helpful and very good at her job well done
Just spoke to Jacob at Vodafone in…,"Just spoke to Jacob at Vodafone in Basingstoke, got a great service highly recommended."
Connor at Newport branch,Connor at the Newport branch was great and super helpful.
It was a really good experience and…,It was a really good experience and good service. Nesha helped me all!!!!!👍🏻
Amazing service by Syed the store…,Amazing service by Syed the store manager give him a raise!!!!
Rhianna was very helpful and very nice,Rhianna was very helpful and very nice. Definitely recommend going to her
Erik look after all my needs,Erik look after all my needs. Listen to what I wanted a d came up with the answers. Very polite and knowledgeable Very happy with the outcome
jay and sunny were really helpful and…,jay and sunny were really helpful and completed the process seamlessly
John has been very knowledgeable and…,"John has been very knowledgeable and friendly, couldn't do any more to help."
Staff are great,"Staff are great,  very helpful and  Stacey is a pleasure to deal with."
Went I to store to ask a few questions,Went I to store to ask a few questions And spoke to stevie and he found the perfect deal for me and transferred everything over fir me. 5 stars
Super helpful setting up a new phone…,Super helpful setting up a new phone and contract
Jane helped me upgrade to the new…,Jane helped me upgrade to the new iPhone 16 Pro Max and was really kind and helpful!
Valois went above and beyond thank you…,Valois went above and beyond thank you so much for all your patience help
Unreliable call centre,"Contacted them to upgrade our Broadband package after explaining what we wanted the call handler said he was having a problem processing our request and would call us back, we are still waiting for him to call us back, good way to lose customers, which is their loss not ours"
Had the best customer experience with…,Had the best customer experience with Kanchi. Would recommend to my friends and family
Andreea was Really helpful thankyou for…,Andreea was Really helpful thankyou for helping with my broadband
Jaedyn was very helpful and processed…,Jaedyn was very helpful and processed my order with ease.
Jord was really good best service I’ve…,Jord was really good best service I’ve had in Vodafone before
Gee made our experience of switching to…,Gee made our experience of switching to Vodafone painless 5 * service many thanks
Always good service at this Branch,Always good service at this Branch. Thanks Manoj
Abbie was very helpful good friendly…,Abbie was very helpful good friendly service Thank you
Wonderful customer service from Tahar…,Wonderful customer service from Tahar who always looks after us. Greatly appreciate his extra efforts.
Abe was very helpful during the whole…,Abe was very helpful during the whole process
Very helpful and friendly staff,Very helpful and friendly staff. Was greeted by Rodney and he couldn’t have been more helpful!
Dan has been  very patient  helpful and…,Dan has been  very patient  helpful and informative.  He deserves  a promotion.
Unbelievably bad service,"Unbelievable how Vodafone keeps messing up things and is not able to fix it. I phoned the customer service a few weeks ago to find out if I could upgrade to a better contract. A lady talked me through options and it sounded good, but then in the end she mentioned that I was getting a new SIM card and phone number (!), which I definitely didn't want (who would?). BTW: what a detail to forget mentioning in first place! So I said I didn't want to go ahead with this and told her to stop the process and thought that was that. But still on the same phone call she already had set the whole bandwagon in motion, and said she couldn't stop it anymore. I said she needed to cancel it, but for some reason she couldn't and asked me to call back next day. Long story short, I chased Vodafone customer service for several consecutive days, hours on the phone to get this contract cancelled which I didn't sign up to in first place. In addition they messed about with my existing plan and I lost a few quid over that, since I suddenly was charged for text messages, as I found myself outside the plan. Again, customer service said they could not do anything about it and one of them got really rude with me, and telling me I didn't understand that this is how Vodafone works. In the meantime I got several emails from Vodafone confirming stuff that had nothing to do with me or my account, and a message that they had send the SIMcard for the contract I never ordered to - tadaaaa - a wrong address. (you cannot make this up, right?...)After ca 5 days of this I finally got the confirmation that mentioned contract was cancelled and everything back to what it as before this mess (except me being a few quid out of pocket, and several hours of my life lost). The week after, I get another email welcoming me to my new account. So I called again and went trough the endless automated bla bla before you get to a human, just to confirm once more I never signed up for this contract. I thought that was the end of it. Guess what: it wasn't. Today I got an email confirming that my account was cancelled and that I had to settle the final bill of 13.50. Seriously? I mean, seriously? The fun part: even if I wanted to pay (which I am obviously not going to do), they said I needed to call them (I guess it is because they don't have an authorised debit on this order, because I never wanted to order!) So I am now braving myself to face another phone call with them, or two, or three..."
Great customer service,Great customer service. Ashley and Shaun were great.
Amazing customer service,Very good customer service with Kirsty and Richi
